,request,conversation_id,word1,word2
1698,"Convert the following sentence from active to passive voice.
The police arrested the suspect.",16737,active,passive
4502,Identify the passive and active voice used in the following sentence.,47369,active,passive
760,Classify the given sentence as active or passive voice.,7469,active,passive
1001,Is the following sentence written in the active or passive voice?,9943,active,passive
290,Identify if the given sentence is using the active or passive voice.,2711,active,passive
1885,Change this sentence from active to passive voice - Jack bought a new car.,18800,active,passive
1886,"Convert this sentence from passive to active -
The door was opened by her",18808,active,passive
3495,"Change the following sentence from passive to active voice:
The new product was launched yesterday",36582,active,passive
1025,Convert this sentence from active voice to passive voice: “The team finished the project on time.”,10076,active,passive
510,Edit the following sentence to use the active voice instead of passive voice.,4843,active,passive
851,Transform this sentence from the passive voice to the active voice.,8551,active,passive
4054,Identify if the following phrase is passive or active voice. Output “Passive” or “Active”.,42451,active,passive
1556,"Transfer the following sentence from the active to the passive voice: ""I am writing a book.""",15481,active,passive
3441,Convert this sentence from it's active form to it's passive form,36011,active,passive
1532,"Convert the sentence from passive to active voice: ""The student was given a laptop by his parents.""",15121,active,passive
2174,Detect if the following sentence is written in passive or active voice.,21577,active,passive
70,Change the sentences from active voice to passive voice.,685,active,passive
2023,"Classify the following sentence as an example of active or passive voice: 

""The sun rose slowly in the east""",20366,active,passive
4416,Explain the differences between active and passive transport.,46551,active,passive
2169,Convert this sentence written in passive voice to an active voice sentence.,21532,active,passive
482,"Transform the following passive voice sentence into active voice, and maintain the meaning of the sentence.",4623,active,passive
2166,Identify whether this sentence is written in active or passive voice.,21531,active,passive
4121,Determine whether the provided sentence is in the passive or active voice.,43113,active,passive
78,Change the sentence from passive to active voice.,752,active,passive
1815,Categorize this sentence as passive or active voice,18071,active,passive
2627,"Convert the following sentence from the active to the passive voice.
""John ran the marathon""",26604,active,passive
4101,"Given the following sentence, determine whether it is active or passive voice",42992,active,passive
4198,Give an example of an active sentence and passive sentence.,43991,active,passive
252,Transform this sentence from active to passive voice:,2318,active,passive
2339,Convert the given sentence written in the active voice to passive voice.,23197,active,passive
786,"Change the following sentence from the passive voice to the active voice:
The painting was created by the artist.",7740,active,passive
3036,"Change the following sentence from active to passive voice: ""I changed the plan""",31272,active,passive
4448,Describe the difference between active and passive voice.,46935,active,passive
2667,"Change this sentence from passive to active voice:

The new policy was announced by the mayor.",27003,active,passive
4270,Rewrite the following sentence using active voice instead of passive voice: The game was watched by hundreds of viewers.,44813,active,passive
3591,Rewrite the following sentence so that it uses an active voice instead of a passive one.,37547,active,passive
4516,"Given two sentences, determine which one is written in active voice and which one is written in passive voice.",47521,active,passive
2674,Determine if the following sentence is active or passive voice – “The decision was made by them”.,27033,active,passive
4075,The given text is written in passive voice. Rewrite the sentence in active voice.,42684,active,passive
437,"Rewrite the following paragraph, replacing the passive voice with active voice where appropriate.",4122,active,passive
1469,Change the verb in the sentence from the passive to an active form,14228,active,passive
3722,Explain what the following machine learning algorithm does.,38790,algorithm,machine
893,Give an example of a machine learning algorithm and explain how it works.,8968,algorithm,machine
1417,Design a machine learning algorithm for predicting stock prices.,13781,algorithm,machine
2316,Design a machine learning algorithm to detect fake news.,23050,algorithm,machine
2614,Design a machine learning algorithm for predicting the price of a house.,26446,algorithm,machine
4848,Generate a machine learning algorithm that determines whether an object is a hot dog or not.,51535,algorithm,machine
1783,Create a machine learning algorithm for spam detection in emails.,17697,algorithm,machine
2369,Name a common machine learning algorithm used for solving classification tasks.,23463,algorithm,machine
4566,What kind of machine learning algorithm works best for identifying fraud?,48024,algorithm,machine
2986,Create a machine learning algorithm to detect anomalous activity in a network.,30831,algorithm,machine
3860,Develop a machine learning algorithm to identify spam emails.,40332,algorithm,machine
4311,"Based on the following data points, identify which type of machine learning algorithm is being used.",45164,algorithm,machine
880,Design a machine learning algorithm to classify the given data.,8757,algorithm,machine
2488,Describe a person in a way that will allow a machine learning algorithm to successfully classify the description as male or female in 10 words.,25023,algorithm,machine
2412,Explain how a machine learning algorithm works.,24033,algorithm,machine
4644,Explain how a machine learning algorithm can be used to recommend products to customers.,48997,algorithm,machine
2431,Generate a machine learning algorithm for the given purpose,24258,algorithm,machine
3046,Name one algorithm used in machine learning,31367,algorithm,machine
274,How would you explain a machine learning algorithm to a child?,2512,algorithm,machine
432,Explain what would be the most suitable machine learning algorithm that can be used for the given problem.,4056,algorithm,machine
4049,Construct a basic machine learning algorithm for the following task.,42403,algorithm,machine
4394,Suggest a machine learning algorithm that could be used for predicting customer churn.,46132,algorithm,machine
2024,"Generate a machine learning algorithm to predict the outcome of a rock, paper, scissors game.",20367,algorithm,machine
4792,Suggest an appropriate machine learning algorithm for a customer segmentation task.,50923,algorithm,machine
4077,Identify the primary data structure used for a machine learning algorithm,42691,algorithm,machine
2724,Explain a machine learning algorithm in one sentence.,27641,algorithm,machine
3301,Please provide a brief explanation of the differences between a deep learning algorithm and a traditional machine learning algorithm.,34398,algorithm,machine
4790,Suggest a machine learning algorithm suitable for analyzing text data.,50919,algorithm,machine
4859,What type of machine learning algorithm would you use to classify emails?,51635,algorithm,machine
3595,"Make an algorithm to solve the following problem: Given an array of positive integers, find all the pairs whose sum is divisible by 3.",37562,all,sum
3593,Construct a query to search for all emails sent on a certain date.,37560,all,query
3598,Manipulate the given list such that all numbers are multiplied by 3.,37587,all,such
563,Extract all the nouns from the sentence and output them in a list.,5491,all,output
1244,"If |12/x+3|=2, find the product of all possible values of x. Express your answer as an improper fraction.",12260,all,possible
2128,"Given two strings s and t, return true if t is an anagram of s, and false otherwise.

An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.",21264,all,return
2130,"Given two strings s and t, return true if t is an anagram of s, and false otherwise.

An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.",21264,all,word
1791,"Let 
 f(x) = {[ -x - 3 if x ≤ 1,; x/2 + 1 if x > 1. ].
Find the sum of all values of x such that f(x) = 0.",17807,all,such
3358,Write a query to find all its movie titles that were released between 2000 and 2011,35186,all,query
1072,"Given a set of numbers, list all possible three-step arithmetic operations.",10497,all,possible
3075,"An abundant number is a positive integer, the sum of whose distinct proper factors is greater than the number. (The proper factors of a number are all of its factors except the number itself.) How many numbers less than 25 are abundant numbers?",31676,all,sum
4691,"Given an array of positive integers, find all possible subsets whose sum is equal to a given target number.",49571,all,possible
3580,"We define a harmonious array as an array where the difference between its maximum value and its minimum value is exactly 1.

Given an integer array nums, return the length of its longest harmonious subsequence among all its possible subsequences.

A subsequence of array is a sequence that can be derived from the array by deleting some or no elements without changing the order of the remaining elements.",37442,all,return
3080,"Let x be a real number such that

    x^2 + 4 ( x/(x - 2))^2 = 45.
Find all possible values of y = ((x - 2)^2 (x + 3))/(2x - 3). Enter all possible values, separated by commas.",31745,all,such
1792,"Let 
 f(x) = {[ -x - 3 if x ≤ 1,; x/2 + 1 if x > 1. ].
Find the sum of all values of x such that f(x) = 0.",17807,all,sum
3081,"Let x be a real number such that

    x^2 + 4 ( x/(x - 2))^2 = 45.
Find all possible values of y = ((x - 2)^2 (x + 3))/(2x - 3). Enter all possible values, separated by commas.",31745,all,possible
556,"Select all instances of the word ""incredible"" in the text and mark them with “<incredible>”",5346,all,word
4519,Find the sum of all positive integers n such that 1.2n-4.4<5.2.,47565,all,such
3085,"Let a, b, c be a three-term arithmetic series where all the terms are positive, such that abc = 64. Find the smallest possible value of b.",31782,all,such
3553,"Given the roots of two binary trees root and subRoot, return true if there is a subtree of root with the same structure and node values of subRoot and false otherwise.

A subtree of a binary tree tree is a tree that consists of a node in tree and all of this node's descendants. The tree tree could also be considered as a subtree of itself.",37172,all,return
3086,"Let a, b, c be a three-term arithmetic series where all the terms are positive, such that abc = 64. Find the smallest possible value of b.",31782,all,possible
2063,List all possible numbers from the given range inclusively.,20585,all,possible
550,"Given the following string, remove all white spaces.",5265,all,remove
3547,"In MATLAB, there is a handy function called reshape which can reshape an m x n matrix into a new one with a different size r x c keeping its original data.

You are given an m x n matrix mat and two integers r and c representing the number of rows and the number of columns of the wanted reshaped matrix.

The reshaped matrix should be filled with all the elements of the original matrix in the same row-traversing order as they were.

If the reshape operation with given parameters is possible and legal, output the new reshaped matrix; Otherwise, output the original matrix.",37102,all,possible
3546,"In MATLAB, there is a handy function called reshape which can reshape an m x n matrix into a new one with a different size r x c keeping its original data.

You are given an m x n matrix mat and two integers r and c representing the number of rows and the number of columns of the wanted reshaped matrix.

The reshaped matrix should be filled with all the elements of the original matrix in the same row-traversing order as they were.

If the reshape operation with given parameters is possible and legal, output the new reshaped matrix; Otherwise, output the original matrix.",37102,all,output
4480,"Given an input string, remove all duplicate characters and print the output string.",47205,all,output
3583,"We define a harmonious array as an array where the difference between its maximum value and its minimum value is exactly 1.

Given an integer array nums, return the length of its longest harmonious subsequence among all its possible subsequences.

A subsequence of array is a sequence that can be derived from the array by deleting some or no elements without changing the order of the remaining elements.",37442,all,possible
2125,Generate a programming solution to output all the numbers from 1 to 10.,21242,all,output
3066,Take the following content and edit it such that all of the text belongs to a single sentence.,31515,all,such
1782,Find all books related to the keyword “ecology” and output the titles in alphabetical order.,17669,all,output
3009,"Given a sentence, output the verb forms of all the words.",31022,all,output
1712,Solve for the sum of all possible values of x when 3^x^2+4x+4=9^x+2.,16983,all,sum
1713,Solve for the sum of all possible values of x when 3^x^2+4x+4=9^x+2.,16983,all,possible
3680,Create a SQL query to select the first name and last name of all customers who live in a specific city.,38353,all,query
4576,Create a query for a database that finds all countries in the world with a population greater than 10 million.,48192,all,query
1722,"Jo adds up all the positive integers from 1 to 100. Kate does a similar thing with the first 100 positive integers; however, she first rounds every integer to its nearest multiple of 10 (rounding 5s up) and then adds the 100 values. What is the positive difference between Jo's sum and Kate's sum?",17099,all,sum
211,"What is the sum of all integer values n for which C(20,n)+C(20,10)=C(21,11)?",1948,all,sum
3320,"Given a sentence, return the sentence with all the words in alphabetical order.",34700,all,return
3668,Write a query to find all the hotels in Chicago.,38288,all,query
2119,"You are given a sorted unique integer array nums.

A range [a,b] is the set of all integers from a to b (inclusive).

Return the smallest sorted list of ranges that cover all the numbers in the array exactly. That is, each element of nums is covered by exactly one of the ranges, and there is no integer x such that x is in one of the ranges but not in nums.

Each range [a,b] in the list should be output as:

""a->b"" if a != b
""a"" if a == b",21210,all,such
3020,"Describe how to solve this:

Tree Queries: In this problem, you are given a tree with n nodes and a set of queries. Each query asks you to find the maximum value on the path between two nodes in the tree. You need to answer all queries efficiently.",31123,all,query
966,Compute the sum of all numbers from 1 to 100.,9555,all,sum
970,Write a JavaScript program to remove all duplicated elements from an array.,9573,all,remove
3026,"How do I solve this:

Subtree Counting: In this problem, you are given a tree with n nodes and a set of queries. Each query asks you to count the number of nodes in the subtree rooted at a given node. You need to answer all queries efficiently. ",31212,all,query
3027,"Write a solution for the following problem in c++:

Given the root of a binary tree, construct a string consisting of parenthesis and integers from a binary tree with the preorder traversal way, and return it.

Omit all the empty parenthesis pairs that do not affect the one-to-one mapping relationship between the string and the original binary tree.",31214,all,return
974,"Given two tables, one for customer orders with columns OrderID, CustomerID, and OrderDate, and one for order items with columns OrderID, ProductID, and Quantity, write a SQL query to find the total revenue generated by each customer in the past month, including the revenue from all orders that the customer has placed, even if they were placed on different dates.",9576,all,query
4265,Create a SQL query to list all the customers from Chicago.,44807,all,query
2120,"You are given a sorted unique integer array nums.

A range [a,b] is the set of all integers from a to b (inclusive).

Return the smallest sorted list of ranges that cover all the numbers in the array exactly. That is, each element of nums is covered by exactly one of the ranges, and there is no integer x such that x is in one of the ranges but not in nums.

Each range [a,b] in the list should be output as:

""a->b"" if a != b
""a"" if a == b",21210,all,output
3327,"The complement of an integer is the integer you get when you flip all the 0's to 1's and all the 1's to 0's in its binary representation.

For example, The integer 5 is ""101"" in binary and its complement is ""010"" which is the integer 2.
Given an integer num, return its complement.

Give me the C++ solution.",34821,all,return
4571,Find all instances of the given word in the text and create a list.,48033,all,word
3043,"Given a text, remove all punctuation marks.",31361,all,remove
1265,Calculate the sum of all the numbers between 1 and 10.,12329,all,sum
3329,"You are given a license key represented as a string s that consists of only alphanumeric characters and dashes. The string is separated into n + 1 groups by n dashes. You are also given an integer k.

We want to reformat the string s such that each group contains exactly k characters, except for the first group, which could be shorter than k but still must contain at least one character. Furthermore, there must be a dash inserted between two groups, and you should convert all lowercase letters to uppercase.

Return the reformatted license key.

Give me a solution in JavaScript.",34822,all,such
4474,Create a query to retrieve all items in a database with a status of 'shipped'.,47197,all,query
4767,Create a script to remove all vowels from a string,50579,all,remove
571,Find all values of r such that ⌊ r ⌋ + r = 16.5.,5546,all,such
3626,"You have a set of integers s, which originally contains all the numbers from 1 to n. Unfortunately, due to some error, one of the numbers in s got duplicated to another number in the set, which results in repetition of one number and loss of another number.

You are given an integer array nums representing the data status of this set after the error.

Find the number that occurs twice and the number that is missing and return them in the form of an array.

Write a solution for this problem in python.",37769,all,return
4687,"Write a MySQL query to select all the customers from the ""Customers"" table who were born after 1990.",49544,all,query
3065,Remove all occurrences of the given word from the following text.,31512,all,word
3337,Generate a valid SQL query to extract all customers with a given last name from a customer database.,35006,all,query
1853,Group the given set of numbers such that all the negative numbers are together and all the positive numbers are together.,18452,all,such
4481,"Given an input string, remove all duplicate characters and print the output string.",47205,all,remove
2006,"Given an array of integers nums and an integer target, find all unique quadruplets in the array which gives the sum of target. For example, if the input array is [1, 0, -1, 0, -2, 2] and target is 0, the unique quadruplets are [-1, 0, 0, 1] and [-2, -1, 1, 2].",20149,all,sum
3267,"Take the following string, remove all the vowels then print the result.",33935,all,remove
4535,Generate a Python script to calculate the sum of all array elements.,47693,all,sum
3177,"Solve this competitive programming challenge using C++:

Given the root of a binary tree, return the sum of all left leaves.
A leaf is a node with no children. A left leaf is a leaf that is the left child of another node.",32971,all,return
3178,"Solve this competitive programming challenge using C++:

Given the root of a binary tree, return the sum of all left leaves.
A leaf is a node with no children. A left leaf is a leaf that is the left child of another node.",32971,all,sum
1955,"Given the head of a linked list and an integer val, remove all the nodes of the linked list that has Node.val == val, and return the new head.",19555,all,return
4235,Generate a correct program to calculate the sum of all elements of an array,44377,all,sum
3195,Generate a correct SQL query to retrieve all the data from a column called “messages” in a table called “chats”,33121,all,query
4520,Find the sum of all positive integers n such that 1.2n-4.4<5.2.,47565,all,sum
1956,"Given the head of a linked list and an integer val, remove all the nodes of the linked list that has Node.val == val, and return the new head.",19555,all,remove
347,"Select the most suitable word to describe the following definition.
""A large group of people, animals, or things that are all similar in another way""",3260,all,word
1158,"Given the root of a binary tree and an integer targetSum, return true if the tree has a root-to-leaf path such that adding up all the values along the path equals targetSum.

A leaf is a node with no children.",11440,all,such
1157,"Given the root of a binary tree and an integer targetSum, return true if the tree has a root-to-leaf path such that adding up all the values along the path equals targetSum.

A leaf is a node with no children.",11440,all,return
4486,"Is there a word (or words) for a person who uses all resources to the maximum; for example, a person who keeps on using pencils even if they are very small?
",47244,all,word
4238,Replace all occurrences of the word “cat” with “dog”.,44462,all,word
4781,Identify the word in all capital letters.,50787,all,word
4492,"Given a string of text, remove all punctuation and write it as a single line of text.",47300,all,remove
