,words,idf
27,metaphor,7.600902459542082
262,then,7.600902459542082
336,photo,7.600902459542082
337,makes,7.600902459542082
46,formal,7.600902459542082
47,gpt,7.600902459542082
26,table,7.600902459542082
299,measure,7.600902459542082
352,languages,7.600902459542082
353,flow,7.600902459542082
298,birthday,7.600902459542082
263,dataset,7.600902459542082
6,intelligence,7.600902459542082
75,assistant,7.600902459542082
74,app,7.600902459542082
4,some,7.600902459542082
5,answer,7.600902459542082
7,does,7.600902459542082
188,pros,6.907755278982137
49,successful,6.907755278982137
189,cons,6.907755278982137
48,like,6.907755278982137
34,7,6.907755278982137
35,task,6.907755278982137
216,2x,6.907755278982137
317,employees,6.907755278982137
314,divide,6.907755278982137
373,beneficial,6.907755278982137
372,criteria,6.907755278982137
217,together,6.907755278982137
12,out,6.907755278982137
218,success,6.907755278982137
219,trip,6.907755278982137
316,needs,6.907755278982137
21,day,6.907755278982137
20,adjectives,6.907755278982137
271,beach,6.907755278982137
270,significance,6.907755278982137
363,phrases,6.907755278982137
362,apples,6.907755278982137
13,book,6.907755278982137
315,k,6.907755278982137
333,emissions,6.502290170873972
332,z,6.502290170873972
328,man,6.502290170873972
338,hashtag,6.502290170873972
339,vegan,6.502290170873972
340,very,6.502290170873972
341,clause,6.502290170873972
123,temperature,6.502290170873972
122,author,6.502290170873972
330,count,6.502290170873972
348,represent,6.502290170873972
349,course,6.502290170873972
331,bird,6.502290170873972
171,love,6.502290170873972
329,taking,6.502290170873972
302,problems,6.502290170873972
288,interrogative,6.502290170873972
289,address,6.502290170873972
253,economy,6.502290170873972
252,another,6.502290170873972
249,columns,6.502290170873972
248,implications,6.502290170873972
233,consider,6.502290170873972
232,workplace,6.502290170873972
303,transportation,6.502290170873972
287,device,6.502290170873972
308,titles,6.502290170873972
309,park,6.502290170873972
86,french,6.502290170873972
170,down,6.502290170873972
163,high,6.502290170873972
162,emotion,6.502290170873972
324,tool,6.502290170873972
325,laptop,6.502290170873972
87,relationship,6.502290170873972
286,math,6.502290170873972
31,features,6.502290170873972
30,need,6.502290170873972
386,range,6.214608098422191
241,performance,6.214608098422191
267,check,6.214608098422191
266,adverb,6.214608098422191
255,sample,6.214608098422191
254,complex,6.214608098422191
251,chatbot,6.214608098422191
250,professional,6.214608098422191
57,total,6.214608098422191
304,necessary,6.214608098422191
327,json,6.214608098422191
326,speed,6.214608098422191
239,financial,6.214608098422191
240,art,6.214608098422191
343,asked,6.214608098422191
238,engineer,6.214608098422191
383,teacher,6.214608098422191
382,vocabulary,6.214608098422191
176,plant,6.214608098422191
177,discussing,6.214608098422191
28,marketing,6.214608098422191
29,term,6.214608098422191
200,relevant,6.214608098422191
201,feature,6.214608098422191
342,affect,6.214608098422191
56,step,6.214608098422191
305,goal,6.214608098422191
77,works,6.214608098422191
351,explains,6.214608098422191
76,rearrange,6.214608098422191
350,horror,6.214608098422191
195,house,5.991464547107982
194,india,5.991464547107982
247,pet,5.991464547107982
246,historical,5.991464547107982
384,commonly,5.991464547107982
306,compound,5.991464547107982
323,plastic,5.991464547107982
322,leader,5.991464547107982
361,smallest,5.991464547107982
360,quiz,5.991464547107982
158,match,5.991464547107982
159,objects,5.991464547107982
313,cake,5.991464547107982
310,compile,5.991464547107982
168,security,5.991464547107982
169,today,5.991464547107982
210,campaign,5.991464547107982
211,method,5.991464547107982
311,organize,5.991464547107982
312,snippet,5.991464547107982
385,linear,5.991464547107982
307,behind,5.991464547107982
344,series,5.991464547107982
66,children,5.991464547107982
120,travel,5.991464547107982
126,build,5.991464547107982
127,largest,5.991464547107982
117,propose,5.991464547107982
121,f,5.991464547107982
116,summer,5.991464547107982
345,may,5.991464547107982
291,score,5.991464547107982
290,am,5.991464547107982
67,opinion,5.991464547107982
377,networks,5.809142990314028
376,revolution,5.809142990314028
225,open,5.809142990314028
224,sources,5.809142990314028
