,request,conversation_id,word1,word2,word1_idf,word2_idf,number_of_characters,number_of_words,avg_word_length,number_of_unique_words,avg_tf,average_idf,average_tf_idf
924,Calculate 6 squared divided by 8,47528,8,6,5.184988681241034,5.572754212249797,32,6,5.333333333333333,6,0.16666666666666666,5.758795579311822,0.9597992632186368
710,"Generate a password which is secure, easy to remember and has a minimum length of 8 characters.",35161,8,password,5.184988681241034,7.1308988302963465,95,17,5.588235294117647,16,0.06249999999999999,4.269620185682303,0.2542562820313736
104,Create a password for email that includes 8 characters.,3198,8,password,5.184988681241034,7.1308988302963465,55,9,6.111111111111111,9,0.1111111111111111,4.340270010570705,0.48225222339674506
819,"Of the 36 students in Richelle's class, 12 prefer chocolate pie, 8 prefer apple, and 6 prefer blueberry. Half of the remaining students prefer cherry pie and half prefer lemon. For Richelle's pie graph showing this data, how many degrees should she use for cherry pie?",40239,8,6,5.184988681241034,5.572754212249797,268,46,5.826086956521739,36,0.027777777777777776,4.092036699201128,0.12464379942692445
616,Calculate the area of a trapezoid with sides of 5 and 6 and height of 8,29863,8,6,5.184988681241034,5.572754212249797,71,16,4.4375,13,0.07692307692307693,3.3894137504077038,0.22876217610445126
829,"The lattice shown is continued for 9 rows. What will be the third number in the 9th row? 
Row 1:     1     2     3     4     5 
Row 2:     6     7     8     9     10 
Row 3:     11     12     13     14     15 
Row 4:     16     17     18     19     20
",41121,8,6,5.184988681241034,5.572754212249797,257,46,5.586956521739131,41,0.024390243902439025,4.604578761328815,0.1065145623371502
825,"Please create a random password which contains 8 letters, 2 numbers and 2 symbols.",40745,8,password,5.184988681241034,7.1308988302963465,82,14,5.857142857142857,13,0.0769230769230769,4.171190453951742,0.32160779317040616
824,"Please create a random password which contains 8 letters, 2 numbers and 2 symbols.",40745,8,random,5.184988681241034,5.683979847360021,82,14,5.857142857142857,13,0.0769230769230769,4.171190453951742,0.32160779317040616
377,"Generate a random password with 8 characters containing at least one number, one special character, one capital letter and one lowercase letter.",17173,8,password,5.184988681241034,7.1308988302963465,144,22,6.545454545454546,19,0.05263157894736842,4.887781820764062,0.2579194074233271
218,Write a code to generate a random password with 8 characters.,9561,8,password,5.184988681241034,7.1308988302963465,61,11,5.545454545454546,10,0.1,4.220813451903929,0.39150094920789846
904,Generate a password containing 8 characters with one number and one special character.,45981,8,password,5.184988681241034,7.1308988302963465,86,13,6.615384615384615,12,0.08333333333333331,4.519194958961125,0.3778782715565918
745,"Generate a random password with 8 characters, consisting of lower and upper-case letters and numbers.",36924,8,random,5.184988681241034,5.683979847360021,101,15,6.733333333333333,14,0.07142857142857142,4.278207608677596,0.2971208028731096
601,Generate a random password with length 8 and complexity 4.,29132,8,random,5.184988681241034,5.683979847360021,58,10,5.8,10,0.1,4.539276895782308,0.4539276895782308
63,Calculate 8 minus 6 in the base two system.,1303,8,6,5.184988681241034,5.572754212249797,43,9,4.777777777777778,9,0.1111111111111111,3.534282950817507,0.39269810564638963
376,"Generate a random password with 8 characters containing at least one number, one special character, one capital letter and one lowercase letter.",17173,8,random,5.184988681241034,5.683979847360021,144,22,6.545454545454546,19,0.05263157894736842,4.887781820764062,0.2579194074233271
123,Generate a computer password with at least 8 characters.,4539,8,password,5.184988681241034,7.1308988302963465,56,9,6.222222222222222,9,0.1111111111111111,4.36285693901746,0.48476188211305116
449,Generate a random password of length 8 that contains at least one number and one special character.,20729,8,random,5.184988681241034,5.683979847360021,99,17,5.823529411764706,16,0.06249999999999999,4.219090602130195,0.26470375690154785
450,Generate a random password of length 8 that contains at least one number and one special character.,20729,8,password,5.184988681241034,7.1308988302963465,99,17,5.823529411764706,16,0.06249999999999999,4.219090602130195,0.26470375690154785
204,"Generate a password that is 8 characters in length and contains at least 1 uppercase letter, 1 lowercase letter, 1 special character and 1 number.",8722,8,password,5.184988681241034,7.1308988302963465,146,25,5.84,20,0.05000000000000001,4.617894124758342,0.2231305079223042
746,"Generate a random password with 8 characters, consisting of lower and upper-case letters and numbers.",36924,8,password,5.184988681241034,7.1308988302963465,101,15,6.733333333333333,14,0.07142857142857142,4.278207608677596,0.2971208028731096
497,Generate a random sentence between 4 to 8 words.,22450,8,random,5.184988681241034,5.683979847360021,48,9,5.333333333333333,9,0.1111111111111111,3.4259944367900395,0.3806660485322266
499,"Generate a random password with length 8 and containing one capital letter, one number, and one special character.",22554,8,password,5.184988681241034,7.1308988302963465,114,18,6.333333333333333,15,0.06666666666666667,4.750631521908211,0.31176180846592466
455,Reshape the following array of size 6 to 8,20982,8,6,5.184988681241034,5.572754212249797,42,9,4.666666666666667,9,0.1111111111111111,3.2972077834963485,0.36635642038848315
792,"Generate a password with more than 8 characters that includes an upper case letter, a lower case letter, a symbol and a number.",37962,8,password,5.184988681241034,7.1308988302963465,127,23,5.521739130434782,18,0.05555555555555555,4.680986253396879,0.22897668193719492
